date,product,category,price,quantity,revenue,quarter,month
2022-01-01,Smartphone,electronics,600.0,10.0,6000.0,1,1
2022-01-01,Laptop,electronics,1200.0,5.0,6000.0,1,1
2022-01-02,T-Shirt,clothing,20.0,50.0,1000.0,1,1
2022-01-03,Headphones,electronics,100.0,20.0,2000.0,1,1
2022-01-04,T-Shirt,clothing,20.0,25.0,500.0,1,1
2022-01-05,Watch,accessories,150.0,10.0,1500.0,1,1
2022-01-06,Smartphone,electronics,600.0,8.0,4800.0,1,1
2022-01-06,Tablet,electronics,400.0,5.0,2000.0,1,1
2022-01-07,Coat,clothing,100.0,10.0,1000.0,1,1
2022-01-08,Smartwatch,accessories,200.0,12.0,2400.0,1,1
2022-01-09,Speaker,electronics,80.0,15.0,1200.0,1,1
2022-01-10,Backpack,bags,50.0,20.0,1000.0,1,1
2022-01-11,Hoodie,clothing,40.0,30.0,1200.0,1,1
2022-01-12,Smartphone,electronics,600.0,12.0,7200.0,1,1
2022-01-13,Sneakers,shoes,80.0,10.0,800.0,1,1
2022-01-14,Wallet,accessories,30.0,40.0,1200.0,1,1
2022-01-15,Jeans,clothing,50.0,20.0,1000.0,1,1
2022-01-16,Smartwatch,accessories,200.0,5.0,1000.0,1,1
2022-01-17,Smartphone,electronics,600.0,6.0,3600.0,1,1
2022-01-18,Coat,clothing,100.0,8.0,800.0,1,1
2022-01-19,Speaker,electronics,80.0,20.0,1600.0,1,1
2022-01-20,Backpack,bags,50.0,15.0,750.0,1,1
2022-01-21,T-Shirt,clothing,20.0,40.0,800.0,1,1
2022-01-22,Smartphone,electronics,600.0,7.0,4200.0,1,1
2022-01-23,Tablet,electronics,400.0,3.0,1200.0,1,1
2022-01-24,Hoodie,clothing,40.0,15.0,600.0,1,1
2022-01-25,Smartwatch,accessories,200.0,8.0,1600.0,1,1
2022-01-26,Sneakers,shoes,80.0,12.0,960.0,1,1
2022-01-27,Coat,clothing,100.0,5.0,500.0,1,1
2022-01-28,Speaker,electronics,80.0,8.0,640.0,1,1
2022-01-29,T-Shirt,clothing,20.0,30.0,600.0,1,1
2022-01-30,Smartphone,electronics,600.0,9.0,5400.0,1,1
2022-01-31,Jeans,clothing,50.0,15.0,750.0,1,1
2022-02-01,T-Shirt,clothing,20.0,35.0,700.0,1,2
2022-02-02,Smartphone,electronics,600.0,10.0,6000.0,1,2
2022-02-03,Headphones,electronics,100.0,25.0,2500.0,1,2
2022-02-04,Coat,clothing,100.0,12.0,1200.0,1,2
2022-02-05,Watch,accessories,150.0,8.0,1200.0,1,2
2022-02-06,Smartphone,electronics,600.0,7.0,4200.0,1,2
2022-02-07,Speaker,electronics,80.0,18.0,1440.0,1,2
2022-02-08,Backpack,bags,50.0,25.0,1250.0,1,2
2022-02-09,Smartwatch,accessories,200.0,6.0,1200.0,1,2
2022-02-10,Jeans,clothing,50.0,10.0,500.0,1,2
2022-02-11,T-Shirt,clothing,20.0,20.0,400.0,1,2
2022-02-12,Smartphone,electronics,600.0,12.0,7200.0,1,2
2022-02-13,Sneakers,shoes,80.0,8.0,640.0,1,2
2022-02-14,Wallet,accessories,30.0,30.0,900.0,1,2
